Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2007,1,1,1,1552,1555,1746,1800,WN,205,N477,114,125,98,-14,-3,TPA,SDF,727,3,13,0,,0,0,0,0,0,0
2007,1,1,1,1918,1905,2029,2030,WN,818,N432,131,145,114,-1,13,TPA,STL,869,3,14,0,,0,0,0,0,0,0
2007,1,1,1,816,815,906,910,WN,11,N624SW,50,55,41,-4,1,TUL,DAL,237,2,7,0,,0,0,0,0,0,0
2007,1,1,1,1058,1100,1147,1155,WN,188,N660SW,49,55,41,-8,-2,TUL,DAL,237,2,6,0,,0,0,0,0,0,0
2007,1,1,1,1746,1730,1836,1825,WN,533,N523,50,55,41,11,16,TUL,DAL,237,2,7,0,,0,0,0,0,0,0
2007,1,1,1,1543,1535,1638,1635,WN,572,N503,55,60,44,3,8,TUL,DAL,237,4,7,0,,0,0,0,0,0,0
2007,1,1,1,1411,1415,1501,1510,WN,1548,N343,50,55,43,-9,-4,TUL,DAL,237,1,6,0,,0,0,0,0,0,0
2007,1,1,1,1950,1955,2040,2050,WN,2205,N515,50,55,40,-10,-5,TUL,DAL,237,3,7,0,,0,0,0,0,0,0
2007,1,1,1,1553,1555,1719,1725,WN,138,N519,86,90,77,-6,-2,TUL,HOU,453,4,5,0,,0,0,0,0,0,0
2007,1,1,1,2122,2040,2245,2210,WN,368,N651SW,83,90,75,35,42,TUL,HOU,453,2,6,0,,0,0,0,0,0,35
2007,1,1,1,1015,1020,1136,1155,WN,2673,N502,81,95,73,-19,-5,TUL,HOU,453,3,5,0,,0,0,0,0,0,0
2007,1,1,1,942,945,1028,1050,WN,1611,N526,166,185,157,-22,-3,TUL,LAS,1076,3,6,0,,0,0,0,0,0,0
2007,1,1,1,1228,1230,1314,1325,WN,1075,N625SW,46,55,35,-11,-2,TUL,MCI,223,5,6,0,,0,0,0,0,0,0
2007,1,1,1,1825,1800,1914,1855,WN,1924,N505,49,55,35,19,25,TUL,MCI,223,5,9,0,,0,0,0,0,0,19
2007,1,1,1,1611,1610,1735,1750,WN,226,N438,144,160,130,-15,1,TUL,PHX,935,6,8,0,,0,0,0,0,0,0
2007,1,1,1,1231,1235,1353,1415,WN,1590,N239,142,160,132,-22,-4,TUL,PHX,935,5,5,0,,0,0,0,0,0,0
2007,1,1,1,617,620,749,805,WN,2269,N621SW,152,165,140,-16,-3,TUL,PHX,935,4,8,0,,0,0,0,0,0,0
2007,1,1,1,1943,1935,2052,2045,WN,198,N526,69,70,52,7,8,TUL,STL,351,10,7,0,,0,0,0,0,0,0
2007,1,1,1,736,740,853,850,WN,2574,N664WN,77,70,66,3,-4,TUL,STL,351,4,7,0,,0,0,0,0,0,0
2007,1,1,1,739,740,832,840,WN,1593,N705SW,53,60,43,-8,-1,TUS,ABQ,321,4,6,0,,0,0,0,0,0,0
2007,1,1,1,1643,1645,1737,1745,WN,2044,N767,54,60,43,-8,-2,TUS,ABQ,321,4,7,0,,0,0,0,0,0,0
2007,1,1,1,941,945,948,1005,WN,283,N329SW,67,80,56,-17,-4,TUS,LAS,365,4,7,0,,0,0,0,0,0,0
2007,1,1,1,1950,1915,1956,1930,WN,753,N713SW,66,75,55,26,35,TUS,LAS,365,5,6,0,,0,1,0,0,0,25
2007,1,1,1,1538,1520,1542,1535,WN,1461,N495,64,75,56,7,18,TUS,LAS,365,3,5,0,,0,0,0,0,0,0
2007,1,1,1,2104,2110,2116,2125,WN,1465,N406,72,75,59,-9,-6,TUS,LAS,365,5,8,0,,0,0,0,0,0,0
2007,1,1,1,1345,1345,1358,1400,WN,1890,N632SW,73,75,58,-2,0,TUS,LAS,365,5,10,0,,0,0,0,0,0,0
2007,1,1,1,715,715,722,730,WN,2963,N725,67,75,56,-8,0,TUS,LAS,365,4,7,0,,0,0,0,0,0,0
2007,1,1,1,1447,1435,1504,1505,WN,165,N706SW,77,90,65,-1,12,TUS,LAX,451,6,6,0,,0,0,0,0,0,0
2007,1,1,1,1846,1820,1903,1850,WN,496,N249,77,90,65,13,26,TUS,LAX,451,7,5,0,,0,0,0,0,0,0
2007,1,1,1,800,800,825,830,WN,569,N700GS,85,90,68,-5,0,TUS,LAX,451,8,9,0,,0,0,0,0,0,0
2007,1,1,1,2125,2115,2147,2145,WN,2081,N260,82,90,66,2,10,TUS,LAX,451,10,6,0,,0,0,0,0,0,0
2007,1,1,1,1051,1050,1116,1120,WN,2970,N706SW,85,90,68,-4,1,TUS,LAX,451,10,7,0,,0,0,0,0,0,0
2007,1,1,1,1024,1025,1423,1440,WN,379,N415,179,195,167,-17,-1,TUS,MDW,1440,6,6,0,,0,0,0,0,0,0
2007,1,1,1,1201,1200,1208,1215,WN,1117,N332,67,75,58,-7,1,TUS,SAN,367,3,6,0,,0,0,0,0,0,0
2007,1,1,1,1724,1730,1730,1745,WN,1752,N734SW,66,75,55,-15,-6,TUS,SAN,367,3,8,0,,0,0,0,0,0,0
2007,1,2,2,2020,1955,2219,2150,WN,227,N673,59,55,44,29,25,ABQ,AMA,277,6,9,0,,0,18,0,4,0,7
2007,1,2,2,1110,1110,1301,1305,WN,1342,N663SW,51,55,43,-4,0,ABQ,AMA,277,2,6,0,,0,0,0,0,0,0
2007,1,2,2,911,910,1436,1445,WN,1593,N461,205,215,195,-9,1,ABQ,BWI,1670,3,7,0,,0,0,0,0,0,0
2007,1,2,2,718,700,1000,935,WN,15,N353,102,95,84,25,18,ABQ,DAL,580,3,15,0,,0,18,0,7,0,0
2007,1,2,2,1445,1430,1721,1705,WN,45,N603SW,96,95,82,16,15,ABQ,DAL,580,3,11,0,,0,0,0,1,0,15
2007,1,2,2,2154,2105,26,2330,WN,375,N332,92,85,78,56,49,ABQ,DAL,580,3,11,0,,0,26,0,7,0,23
2007,1,2,2,1018,955,1253,1230,WN,2132,N232,95,95,83,23,23,ABQ,DAL,580,4,8,0,,0,0,0,0,0,23
2007,1,2,2,1120,1120,1349,1355,WN,2296,N462,89,95,81,-6,0,ABQ,DAL,580,3,5,0,,0,0,0,0,0,0
2007,1,2,2,1846,1805,2120,2035,WN,2399,N349,94,90,82,45,41,ABQ,DAL,580,4,8,0,,0,0,0,4,0,41
2007,1,2,2,1622,1610,1853,1845,WN,2593,N270,91,95,80,8,12,ABQ,DAL,580,6,5,0,,0,0,0,0,0,0
2007,1,2,2,641,635,738,730,WN,204,N691WN,57,55,38,8,6,ABQ,ELP,223,5,14,0,,0,0,0,0,0,0
2007,1,2,2,1924,1915,2015,2005,WN,749,N708SA,51,50,36,10,9,ABQ,ELP,223,5,10,0,,0,0,0,0,0,0
2007,1,2,2,1123,1120,1229,1215,WN,1166,N479,66,55,48,14,3,ABQ,ELP,223,11,7,0,,0,0,0,0,0,0
2007,1,2,2,706,650,1003,950,WN,333,N227,117,120,100,13,16,ABQ,HOU,759,3,14,0,,0,0,0,0,0,0
